Provincia,,Localidad,ADSL,CABLEMODEM,,FIBRAOPTICA,4G,3G,,WIRELESS,
BUENOS AIRES,Brandsen,Posada de los Lagos,,--,--,--,,SI,--,,--
,Brandsen,Samborombón,,,--,--,,,--,,--
BUENOS AIRES,Campana,,--,--,--,,SI,SI,--,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,SI,
,Campana,Campana,,,SI,SI,,,SI,SI,SI
BUENOS AIRES,Campana,Chacras del Río Luján,,--,--,--,,SI,--,,--
BUENOS AIRES,,,--,SI,,,SI,SI,--,--,--
BUENOS AIRES,,General Rodríguez,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,General San Martín,Barrio Parque General San Martin,,--,SI,SI,,--,SI,SI,--
,General San Martín,Billinghurst,SI,,--,SI,SI,,SI,,--
,General San Martín,Ciudad Del Libertador General San Martin,,,--,SI,,,SI,SI,
BUENOS AIRES,General San Martín,Ciudad Jardin El Libertador,,SI,--,--,,SI,SI,--,--
BUENOS AIRES,,,--,SI,,,SI,SI,,,--
BUENOS AIRES,General San Martín,,--,SI,--,,SI,SI,--,--,--
BUENOS AIRES,General San Martín,Villa Ballester,,SI,SI,SI,,SI,SI,SI,--
,General San Martín,Villa Bernardo Monteagudo,--,,--,SI,SI,,--,--,
,General San Martín,Villa Chacabuco,--,,--,SI,SI,,--,--,--
BUENOS AIRES,General San Martín,Villa Coronel Jose M. Zapiola,,SI,--,SI,,SI,--,,--
BUENOS AIRES,,Villa General Antonio J. De Sucre,--,SI,,SI,SI,SI,,--,--
BUENOS AIRES,,,--,SI,--,,SI,SI,--,--,
BUENOS AIRES,General San Martín,,--,SI,--,,SI,SI,--,,--
BUENOS AIRES,,,--,SI,,,SI,SI,,--,--
BUENOS AIRES,General San Martín,Villa Godoy Cruz,,SI,--,SI,,SI,--,--,
,General San Martín,Villa Granaderos De San Martín,,,--,SI,,,--,SI,--
BUENOS AIRES,,Villa Gregoria Matorras,--,SI,,,SI,SI,,,--
BUENOS AIRES,General San Martín,,SI,SI,--,,SI,SI,SI,,--
,Mercedes,Gowland,,--,--,SI,,SI,--,SI,
,Mercedes,Jorge Born,--,,--,--,--,,--,SI,
BUENOS AIRES,Mercedes,,SI,SI,SI,,SI,SI,SI,SI,SI
BUENOS AIRES,,Tomás Jofré,--,--,,--,--,--,,,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
BUENOS AIRES,Merlo,,SI,SI,--,,SI,SI,SI,SI,--
,Merlo,Merlo,,,SI,SI,,,SI,,--
BUENOS AIRES,Merlo,Pontevedra,,SI,SI,SI,,SI,SI,,--
BUENOS AIRES,Merlo,,SI,SI,SI,,SI,SI,SI,SI,--
BUENOS AIRES,,Abbott,--,--,,SI,SI,SI,,SI,
BUENOS AIRES,,San Miguel del Monte (Est. Monte),SI,SI,,SI,SI,SI,,,--
BUENOS AIRES,,,--,--,,,SI,--,,,--
,Monte Hermoso,Balneario Sauce Grande,SI,,--,SI,SI,,SI,--,--
,Monte Hermoso,Monte Hermoso,,,--,SI,,,SI,--,
BUENOS AIRES,Moreno,Cuartel V,,SI,SI,SI,,SI,SI,,--
,Moreno,Francisco Alvarez,,,SI,SI,,,SI,SI,--
BUENOS AIRES,Tigre,,SI,SI,SI,,SI,SI,SI,SI,
BUENOS AIRES,,Don Torcuato Oeste,--,--,,--,SI,SI,,SI,
,Tigre,El Talar,,,--,SI,,,SI,SI,SI
BUENOS AIRES,Tigre,General Pacheco,,SI,--,SI,,SI,SI,,SI
BUENOS AIRES,,,SI,SI,,,SI,SI,,--,SI
BUENOS AIRES,,Nordelta,--,SI,,SI,SI,SI,,--,
,Ñorquincó,Mamuel Choique,,,--,SI,,,SI,--,--
,Ñorquincó,Ñorquincó,--,,--,--,--,,SI,,SI
,Ñorquincó,Ojos de Agua,--,,--,--,--,,SI,--,
BUENOS AIRES,Tigre,Ricardo Rojas,,SI,--,SI,,SI,SI,--,--
BUENOS AIRES,,,SI,SI,,SI,SI,SI,,,--
BUENOS AIRES,Tigre,,SI,SI,--,,SI,SI,SI,SI,SI
BUENOS AIRES,Tordillo,General Conesa,,SI,--,--,,SI,SI,SI,
,Tordillo,Villa Roch,,,--,--,,,--,SI,
,Tornquist,Chasicó,,,--,--,,,SI,,--
,Tornquist,Saldungaray,SI,,--,--,SI,,SI,--,--
BUENOS AIRES,,,--,SI,,,SI,SI,,--,
RIO NEGRO,,Río Chico (Est. Cerro Mesa),--,--,,--,--,--,,--,SI
RIO NEGRO,,,--,--,,,--,--,,--,--
BUENOS AIRES,Cañuelas,,SI,SI,SI,,SI,SI,SI,,--
,Cañuelas,Barrio Belgrano-Máximo Paz,--,,--,--,SI,,--,SI,--
BUENOS AIRES,Cañuelas,Barrio El Taladro,,--,--,--,,--,--,SI,
BUENOS AIRES,Cañuelas,,SI,SI,SI,,SI,SI,SI,,SI
BUENOS AIRES,,,--,--,,,SI,--,,,--
,Cañuelas,Máximo Paz,--,,--,SI,--,,--,SI,
,Cañuelas,Santa Rosa,,,--,--,,,--,SI,
BUENOS AIRES,,Uribelarrea,SI,--,,SI,SI,SI,,,--
BUENOS AIRES,,,SI,--,,,SI,SI,,SI,--
BUENOS AIRES,Capitán Sarmiento,,SI,SI,--,,SI,SI,SI,SI,
