,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
,General Paz,Villanueva  (Ap. Río Salado),6343040,,- 0,- 0,- 0,,- 0,- 0,143,143,
BUENOS AIRES,General Pinto,,6351010,141,- 0,,- 0,- 0,- 0,- 0,,,
BUENOS AIRES,,,6351020,- 0,,,- 0,- 0,,- 0,- 0,,
,General Pinto,Germania  (Est. Mayor José Orellano),,,- 0,- 0,,,- 0,- 0,- 0,1.112,
BUENOS AIRES,General Pinto,Villa Francia  (Est. Coronel Granada),,- 0,- 0,- 0,,- 0,2,,- 0,334,
BUENOS AIRES,,,6351020,- 0,,,- 0,- 0,,- 0,46,,
BUENOS AIRES,,Barrio El Boquerón,6357020,- 0,,- 0,- 0,- 0,,- 0,,74,
,General Pueyrredón,Barrio El Casal,,,- 0,- 0,,,- 0,,72,72,
,General Pueyrredón,Barrio El Coyunco,6357110,,- 0,- 0,25,,- 0,,73,99,
,General Pueyrredón,Barrio La Gloria,6357050,,- 0,- 0,,,- 0,- 0,,324,
BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,,- 0,- 0,- 0,,- 0,1,- 0,,,
BUENOS AIRES,,Batán,6357070,1.266,,- 0,1.110,7,,,634,3.018,
BUENOS AIRES,General Pueyrredón,,6357080,83,- 0,,1.664,- 0,1,,353,2.101,
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,,249,- 0,- 0,,- 0,1,- 0,208,,
,General Pueyrredón,Mar del Plata,,,121.533,533,,,7,- 0,,,
,General Pueyrredón,OTROS,Sin Datos,,- 0,- 0,151,,- 0,,- 0,151,
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,,,- 0,- 0,,1,- 0,,256,935,
BUENOS AIRES,,Camet,6357090,1.226,,- 0,377,- 0,,- 0,,,
BUENOS AIRES,General Pueyrredón,,6357090,- 0,- 0,,- 0,- 0,,- 0,,8,
BUENOS AIRES,General Rodríguez,,6364030,1.293,10.535,,3.249,4,1,,505,15.608,
BUENOS AIRES,,,6364030,- 0,,,2,- 0,,,- 0,2,
BUENOS AIRES,General San Martín,Barrio Parque General San Martin,,- 0,- 0,3,,- 0,- 0,- 0,,2.491,
,General San Martín,Billinghurst,,,735,- 0,,,- 0,- 0,- 0,,
BUENOS AIRES,,Ciudad Del Libertador General San Martin,6371010,4.382,,5,5.514,88,,- 0,4,35.188,
BUENOS AIRES,General San Martín,,Sin Datos,11,- 0,,- 0,- 0,- 0,,- 0,11,
BUENOS AIRES,General San Martín,Va Ma Irene De Los Remedios De Escalada,,- 0,90,- 0,,,- 0,- 0,- 0,,
,General San Martín,Villa Ayacucho,6371010,,170,- 0,436,,- 0,- 0,,,
BUENOS AIRES,General San Martín,,6371010,2.333,,,7.192,32,- 0,- 0,347,32.570,
BUENOS AIRES,,Villa Bernardo Monteagudo,6371010,- 0,,- 0,930,- 0,,,- 0,1.494,
BUENOS AIRES,,,6371010,- 0,,,16,- 0,,- 0,,,
BUENOS AIRES,General San Martín,,6371010,- 0,1.365,,1.842,- 0,- 0,- 0,- 0,,
,General San Martín,Villa General Antonio J.  De Sucre,,,569,- 0,,,- 0,,- 0,1.253,
BUENOS AIRES,General San Martín,Villa General Eugenio Necochea,,- 0,2.955,- 0,,- 0,- 0,- 0,- 0,5.246,
BUENOS AIRES,General San Martín,,6371010,- 0,1.393,,1.923,- 0,- 0,- 0,,,
BUENOS AIRES,,,6371010,- 0,,- 0,948,- 0,,- 0,,1.565,
BUENOS AIRES,General San Martín,,6371010,- 0,729,,1.073,- 0,- 0,,- 0,1.802,
BUENOS AIRES,,,6371010,- 0,,,2.345,- 0,,- 0,382,3.662,
BUENOS AIRES,General San Martín,Villa Gregoria Matorras,,- 0,1.075,- 0,,- 0,- 0,- 0,,,
,General San Martín,Villa José León Suarez,,,3.678,- 0,,,- 0,- 0,1.333,,
,General San Martín,Villa Juan Martín De Pueyrredon,6371010,,1.177,- 0,2.369,,- 0,- 0,- 0,3.546,
BUENOS AIRES,General San Martín,Villa Libertad,,- 0,1.220,- 0,,,- 0,,- 0,3.439,
BUENOS AIRES,,Villa Lynch,6371010,283,,2,14,2,,- 0,- 0,,
BUENOS AIRES,,,6371010,109,1.556,,2.748,- 0,- 0,- 0,,4.958,
,General San Martín,Villa Marqués Alejandro  María De Aguado,,,596,- 0,,,- 0,,- 0,1.692,
,General San Martín,Villa Parque Pres Figueroa Alcorta,6371010,,204,- 0,328,,- 0,,- 0,532,
BUENOS AIRES,,,6371010,- 0,,,351,32,,- 0,,544,
BUENOS AIRES,General San Martín,,6371010,1.112,5.854,,1.068,20,- 0,- 0,,,
,General San Martín,Villa Yapeyú,,,289,- 0,,,- 0,,- 0,749,
BUENOS AIRES,General San Martín,Ciudad Jardin El Libertador,,- 0,12,- 0,,- 0,- 0,- 0,- 0,12,
,General Viamonte,Baigorrita,,,- 0,- 0,,- 0,- 0,- 0,,,
,General Viamonte,Los Toldos,6385030,,- 0,1,4.159,,- 0,- 0,,4.479,
BUENOS AIRES,General Viamonte,,6385050,- 0,- 0,,- 0,- 0,- 0,,27,27,
BUENOS AIRES,,Banderaló,6392010,- 0,,- 0,- 0,250,,,- 0,251,
,General Villegas,Cañada Seca,6392020,,- 0,- 0,- 0,,- 0,- 0,,,
